SKU,WS Notes,,Category,Supertype,Vegtype,Subtype,WS Description
BEA-CA-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,These beauties set abundant fruit even in cool seasons. Steaming chili awaits you
BEA-HP-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,Melt in your mouth goodness. Beany ganache! Traditionally eaten as a shelly bean.
BEA-FL-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,A celebration unto themselves! Intensely creamy and productive. Dry or Shelly.
BEA-HR-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,"Toothsome, creamy and delectable petite white bean. Heavy producer on compact plants."
BEA-HU-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,"*Ark Of Taste* Quick cooking, melt in your mouth, comfort food white bean."
BEA-IC-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,"Solid producer of rich, creamy beans perfect for soups, spreads, and sauces."
BEA-JC-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,*Ark Of Taste* Early and prolific. Known to make a fierce bowl of chili!
BEA-JG-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,"Speckled gold & white beans, pinto size w/rich flavor. Early, large, and prolific."
BEA-KY-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,Creamy white Maine heirloom for authentic baked beans. Wicked good eating!
BEA-LC-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,*Ark Of Taste* Delicious smooth texture & rich flavor. Tasty as shelly beans too!
BEA-MX-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,"From Maine. Round, golden brown beans are classic baked or for soup. Very early."
BEA-PU-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,*Ark Of Taste* Small trad. white bean of Tuscany. Dates back to the Etruscans
BEA-RO-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,"*Ark Of Taste* 100+yr old Whidbey Is. heirloom. Very reliable, productive & tasty!"
BEA-RL-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,*Ark of Taste* Beautiful speckled rose/salmon bean of Tuscany. Early & reliable.
BEA-TE-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,For those who value dry beans for their aesthetic beauty as well as taste.
BEA-ZO-pktw,-,,Vegetables,BEAN,BEAN,DRY/BUSH,*Ark Of Taste* Deliciously tender and creamy traditional bean of Tuscany
BEA-TA-pktw,-,,Vegetables,BEAN,BEAN,DRY/POLE,One of the most renowned beans of Europe. Vigorous 7’ vines produce large white beans.
BEA-AJ-pktw,-,,Vegetables,BEAN,BEAN,DRY/POLE,"Plump, bicolor burgundy and white pole bean of Russian origin. Early& productive."
BEA-PE-pktw,-,,Vegetables,BEAN,BEAN,DRY/POLE,Treasured grey/brown and white bean of Seattle food legend Angelo Pellegrini
BEA-SO-pktw,-,,Vegetables,BEAN,BEAN,DRY/POLE,"*Ark of Taste* Famed white bean of Tuscany. Small, tender, and early on 6-7’ vines."
BEA-AT-pktw,-,,Vegetables,BEAN,BEAN,DRY/POLE,"Famed plump, glossy black bean of Basque country. Later maturing on vigorous vines"
FAV-KA-pktw,-,,Vegetables,BEAN,BEAN,FAVA,Beautiful Polish variety w/a pink blush at fresh stage. Large beans are prolific and very tender.
BEA-BP-pktw,-,,Vegetables,BEAN,BEAN,SNAP/BUSH,"Glossy purple, slender, straight, and crisp beans. Refreshing full flavor."
BEA-DR-pktw,-,,Vegetables,BEAN,BEAN,SNAP/BUSH,"Unusually juicy, flat pod wax beans have it all… flavor, beauty, and abundance!"
BEA-EM-pktw,Best Seller,,Vegetables,BEAN,BEAN,SNAP/BUSH,"6-7""straight pods of stellar tasting green beans Vigorous and productive. White seed."
BEA-PR-pktw,Best Seller,,Vegetables,BEAN,BEAN,SNAP/BUSH,Very popular tried & true green bean. Known for reliable germination in cooler soils.
BEA-MV-pktw,Best Seller,,Vegetables,BEAN,BEAN,SNAP/POLE,"Long, flat, golden yellow beans draped on 7’ vines. Rich and buttery."
BEA-TV-pktw,-,,Vegetables,BEAN,BEAN,SNAP/POLE,Deeply purple and snappy delicious long pods on strong climbing vines. Italian.
BEE-TG-pktw,Best Seller,,Vegetables,BEET,BEET,GOLD,"Vigorous leaf growth paired with sweet, beautifully shaped, smooth round golden roots."
BEE-CR-pktw,-,,Vegetables,BEET,BEET,RED,"Delicious, treasured French variety & the oldest known beet cultivar. Very long tapered roots."
BEE-FK-pktw,Best Seller,,Vegetables,BEET,BEET,RED,"Vigorous trial winner with refined, mild roots and a healthy top of greens."
BEE-LU-pktw,-,,Vegetables,BEET,BEET,RED,Tremendous head of greens. Cold hardy with large sweet roots. Excellent keeper.
BEE-SH-pktw,Best Seller,,Vegetables,BEET,BEET,RED,"Uniformly smooth and shapely round red roots w/ lush green, tall tops. Taste test winner!"
BEE-CH-pktw,Best Seller,,Vegetables,BEET,BEET,SPECIALTY,Bright red roots w/ stunning red and white bulls-eye patterned flesh. Sweet!
BEE-3B-pktw,Best Seller,,Vegetables,BEET,BEET,-,"Dazzling mix of red, gold, & candy-striped beets. (Shiraz, Touchstone Gold, & Chioggia)"
BRO-NO-pktw,-,,Vegetables,BRASSICA,BROCCOLI,RAPINI,"Graceful and branching with early & extensive bud clusters. Milder then ""Spring Raab""."
BRO-SO-pktw,Best Seller,,Vegetables,BRASSICA,BROCCOLI,-,"Refined variety featuring tight, dark, uniform heads and excellent side shoot production."
BRO-UM-pktw,Best Seller,,Vegetables,BRASSICA,BROCCOLI,-,"Excellent taste, vigor, color, head size & side shoots. Matures over a period of 2 weeks."
BUR-TK-pktw,-,,Vegetables,MISC,BURDOCK,-,"Long taproots with a deep, earthy flavor, eaten widely in Japan. Fuzzy plants grow to 3’"
CAB-DO-pktw,-,,Vegetables,BRASSICA,CABBAGE,FALL/WINTER,Superb fall/storage variety producing large green oblong heads. Cold hardy and delicious.
CAB-FK-pktw,-,,Vegetables,BRASSICA,CABBAGE,FALL/WINTER,"*Ark of Taste* Comically conical sauerkraut favorite, but the flavor is no joke."
CAB-JK-pktw,-,,Vegetables,BRASSICA,CABBAGE,FALL/WINTER,Indestructible semi-savoyed green-blushed-red heads in winter. June-July planted.
CAB-NS-pktw,-,,Vegetables,BRASSICA,CABBAGE,SUMMER,"Uniform, medium sized, round green heads. A split resistant, quick to mature selection."
CAB-MA-pktw,-,,Vegetables,BRASSICA,CABBAGE,SUMMER,Excellent N. European variety for fall cropping. Cold hardy med-large green heads.
CRD-GN-pktw,-,,Vegetables,MISC,CARDOON,-,"Blanched leaf stalks of this Artichoke relative are delicious raw, baked, or fried."
CAR-RA-pktw,Best Seller,,Vegetables,CARROT,CARROT,RAINBOW,"Brilliant mix of our orange, purple & yellow carrots. Sure to enthrall everyone. Kids love em!"
CAR-DR-pktw,-,,Vegetables,CARROT,CARROT,-,"Beautiful purple tapered roots with, sweet crisp orange centers"
CAR-SN-pktw,Best Seller,,Vegetables,CARROT,CARROT,-,"A classic carrot. Highly versatile from baby to bunching, fall storage to juicing."
CAR-TO-pktw,-,,Vegetables,CARROT,CARROT,-,"Fun, round, golf ball sized carrots perfect for clay soils & dramatic presentations."
CAU-PR-pktw,-,,Vegetables,BRASSICA,CAULIFLOWER,-,Winter hardy large white domes mature in April. A Spring treat!.
CEL-MO-pktw,-,,Vegetables,MISC,CELERIAC,-,Softball sized roots w/flavor akin to a celery & parsley cross. Excellent storage and taste!
CHA-RA-pktw,Best Seller,,Vegetables,GREENS,CHARD,SWISS,A bright burst of rainbow brilliance in your garden!
COL-CG-pktw,-,,Vegetables,BRASSICA,COLLARDS,-,"Unusual, Oregon-bred glossy leaved variety. Extremely tender, top notch sweet flavor."
COL-CH-pktw,-,,Vegetables,BRASSICA,COLLARDS,-,Large wavy dark green leaves to scratch that Southern home cookin’ itch.
COR-FL-pktw,-,,Vegetables,CORN & GRAIN,CORN,DRY,"Old land- race variety for fabulous, creamy polenta, wonderful breads & corncakes."
COR-PM-pktw,-,,Vegetables,CORN & GRAIN,CORN,FLOUR,"Early maturing, compact 5’ plants with long slender ears in an amazing spectrum of colors"
COR-AB-pktw,-,,Vegetables,CORN & GRAIN,CORN,POPPING,Wonderful popper with golden kernals
COR-DB-pktw,-,,Vegetables,CORN & GRAIN,CORN,POPPING,"6-7""glossy garnet-black ears on sturdy plants. Kernels pop pure white and delicious"
COR-TU-pktw,Best Seller,,Vegetables,CORN & GRAIN,CORN,SWEET,Well bred and soulful with a compelling creaminess. Classic sweetness. White kernels.
CUC-VO-pktw,Best Seller,,Vegetables,CUKE & MELON,CUCUMBER,PICKLING,Very productive and tasty pickling cuke. Crisp texture and never bitter!
CUC-CE-pktw,-,,Vegetables,CUKE & MELON,CUCUMBER,-,"An old Istanbul market favorite, sweet and crisp. Pick 4-5” fruits. Persian type."
CUC-LE-pktw,-,,Vegetables,CUKE & MELON,CUCUMBER,-,"Vigorous plants, small round yellow fruits with an irresistible crunch. Kid favorite!"
CUC-SA-pktw,-,,Vegetables,CUKE & MELON,CUCUMBER,-,aka Mexican Sour gherkin. Unique fruits look like mini-watermelons w/a lightly pickled flavor
CUC-SH-pktw,Best Seller,,Vegetables,CUKE & MELON,CUCUMBER,-,"Smooth skinned, long & slender like an English cuke. Crisp & juicy w/no bitterness. Favorite!"
CUC-SS-pktw,-,,Vegetables,CUKE & MELON,CUCUMBER,-,"Pure white, slicer sized fruits with sweet, never bitter flavor. Compact and very productive."
CUC-SM-pktw,Best Seller,,Vegetables,CUKE & MELON,CUCUMBER,-,High quality & productive with everything you love about long green slicing cukes!
EGG-DI-pktw,-,,Vegetables,PEPPER & EGGPLANT,EGGPLANT,-,"Very prolific slender 8-12”non-bitter, creamy fruits. Perfect for cool-climate eggplant lovers!"
EGG-VI-pktw,-,,Vegetables,PEPPER & EGGPLANT,EGGPLANT,-,Gorgeous purple & white Italian variety. Plump ruffled teardrop shape. Creamy & productive!
FEN-FI-pktw,Best Seller,,Vegetables,MISC,FENNEL,FINOCCHIO,"Trial winning OP selection with big, heavy bulbs. Excellent uniformity & bolt resistance."
AMA-SU-pktw,-,,Vegetables,GREENS,GREENS,AMARANTH/CALLALOO,Pick tender young greens for mixes or cook into a nourishing pot of callaloo.
GRE-AS-pktw,Best Seller,,Vegetables,GREENS,GREENS,ARUGULA,Vigorous strain of this classic salad green. Less deeply lobed leaf & mildly spicy. Cut in 3 wks!
GRE-RU-pktw,-,,Vegetables,GREENS,GREENS,ARUGULA,"aka ""Sylvetta"", cold tolerant, slower growing & spicier w/tight rosettes of deeply lobed leaves."
GRE-WA-pktw,-,,Vegetables,GREENS,GREENS,ARUGULA,"A green for lovers of wasabi! Same kind of nose-numbing spiciness, but in the form of small-leaved rosettes of arugula."
GRE-MZ-pktw,-,,Vegetables,GREENS,GREENS,ASIAN,Mild & sweet early-late season Japanese mustard w/graceful fernlike leaves. Prolific!
GRE-GF-pktw,-,,Vegetables,GREENS,GREENS,ASIAN,"Finely cut, chartreuse leaves of mild spiciness add loft and a light kick to a salad."
GRE-RS-pktw,-,,Vegetables,GREENS,GREENS,ASIAN,A spicy little number w/delicate deeply lobed leaves and rich purple color.
GRE-TA-pktw,-,,Vegetables,GREENS,GREENS,ASIAN,Very dark green rosettes of mild succulent leaves. Excellent raw or sautéed.
MIX-BR-pktw,Best Seller,,Vegetables,GREENS,GREENS,BRAISING,"Colorful hearty mix of kales, bok choi, tat soi, chards, & ruby streaks. Grow from baby leaf to adult with equal success!"
GRE-WC-pktw,-,,Vegetables,GREENS,GREENS,CRESS,Long stemmed greens with distinctive peppery pungency.
MIX-MI-pktw,Best Seller,,Vegetables,GREENS,GREENS,MESCLUN,"Gorgeous mix of lettuces, mild mustards, arugula, spinach, and specialty greens."
MIX-SP-pktw,Best Seller,,Vegetables,GREENS,GREENS,MESCLUN,This mix packs a frisky heat with some spicier greens added to our classic mesclun mix.
GRE-GW-pktw,-,,Vegetables,GREENS,GREENS,MUSTARD,"Slow to bolt upright plants w/succulent, frilled, spicy/sweet leaves. Excellent quality."
GRE-BC-pktw,-,,Vegetables,GREENS,GREENS,SHUNGIKU,Flavorful broadleaf succulent leaves for salads or soup. Milder taste than more finely cut types.
GRE-BS-pktw,-,,Vegetables,GREENS,GREENS,SORREL,"Bright green leaves with deep red veins, and a lemony bite to excite in salads and as garnish."
GRE-ES-pktw,-,,Vegetables,GREENS,GREENS,SPECIALTY,"Delightful greens w/long, slender, antler like leaves, succulent quality and satisfying crunch."
KAL-3K-pktw,Best Seller,,Vegetables,BRASSICA,KALE,-,"An international soiree of Scotch, Tuscan, and Russian!"
KAL-BL-pktw,Best Seller,,Vegetables,BRASSICA,KALE,-,"Long, narrow dark green savoyed leaves. Excellent flavor & vitamin rich."
KAL-DB-pktw,Best Seller,,Vegetables,BRASSICA,KALE,-,"Vigorous, cold hardy lacinato type with striking magenta midribs. Bred at Avoca Farm in OR."
KAL-DW-pktw,Best Seller,,Vegetables,BRASSICA,KALE,-,"Classic cold-hardy curly kale. Sturdy, compact plants w. tasty blue-green leaves."
